Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
403,Stefan Ortega,de GER,GK,Manchester City,31.0,1992,13.0,12.0,1.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,8.0
404,William Osula,dk DEN,FW,Newcastle Utd,20.0,2003,14.0,0.0,134.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,5.0,4.0,17.0,0.67,0.00,0.67,0.67,0.67,0.11,0.10,0.21,0.11,0.21,
405,Dango Ouattara,bf BFA,FW,Bournemouth,22.0,2002,32.0,21.0,2.005,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,8.4,8.4,5.5,13.8,79.0,43.0,191.0,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,28.0
406,Nico O’Reilly,eng ENG,DF,Manchester City,19.0,2005,9.0,6.0,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.6,16.0,17.0,26.0,0.34,0.00,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,
407,Alex Palmer,eng ENG,GK,Ipswich Town,27.0,1996,13.0,13.0,1.17,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
408,Cole Palmer,eng ENG,"MF,FW",Chelsea,22.0,2002,37.0,36.0,3.191,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,17.3,13.3,10.9,24.2,120.0,214.0,187.0,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,120.0
409,Emerson Palmieri,it ITA,DF,West Ham,29.0,1994,31.0,26.0,2.113,23.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,
410,Lucas Paquetá,br BRA,"MF,FW",West Ham,26.0,1997,33.0,27.0,2.38,26.4,4.0,0.0,4.0,2.0,2.0,2.0,10.0,0.0,5.3,3.7,3.1,6.8,26.0,155.0,85.0,0.15,0.00,0.15,0.08,0.08,0.20,0.12,0.32,0.14,0.26,28.0
411,Thomas Partey,gh GHA,"MF,DF",Arsenal,31.0,1993,35.0,31.0,2.797,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,2.1,4.3,36.0,185.0,48.0,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,
412,Nathan Patterson,sct SCO,DF,Everton,22.0,2001,10.0,3.0,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,6.0,13.0,18.0,0.00,0.26,0.26,0.00,0.26,0.02,0.11,0.13,0.02,0.13,15.0
